Date,Close
8/9/2011,9.99
8/10/2011,9.98
8/11/2011,9.4625
8/12/2011,9.4605
8/13/2011,10.131
8/14/2011,10.7957
8/15/2011,11.1498
8/16/2011,10.9641
8/17/2011,10.9456
8/18/2011,10.83
8/19/2011,11.65
8/20/2011,11.453
8/21/2011,11.3113
8/22/2011,10.895
8/23/2011,10.94
8/24/2011,10.8506
8/25/2011,9.657
8/26/2011,8.1794
8/27/2011,8.5902
8/28/2011,9.0701
8/29/2011,8.969
8/30/2011,8.7913
8/31/2011,8.1995
9/1/2011,8.21
9/2/2011,8.64
9/3/2011,8.48
9/4/2011,8.178
9/5/2011,7.611
9/6/2011,6.8628
9/7/2011,7.1864
9/8/2011,6.53
9/9/2011,5.03
9/10/2011,4.7739
9/11/2011,5.8644
9/12/2011,6.078
9/13/2011,5.8
9/14/2011,5.6193
9/15/2011,4.84
9/16/2011,4.82
9/17/2011,4.77
9/18/2011,5.2
9/19/2011,5.46
9/20/2011,6.1119
9/21/2011,5.6114
9/22/2011,5.4278
9/23/2011,5.5451
9/24/2011,5.4683
9/25/2011,5.33
9/26/2011,4.8697
9/27/2011,4.9156
9/28/2011,4.7725
9/29/2011,4.7794
9/30/2011,5.1401
10/1/2011,5.0324
10/2/2011,5.027
10/3/2011,5.024
10/4/2011,4.96
10/5/2011,4.87
10/6/2011,4.7344
10/7/2011,4.2728
10/8/2011,4.0075
10/9/2011,4.1029
10/10/2011,4.1
10/11/2011,3.9308
10/12/2011,4.15
10/13/2011,4.0462
10/14/2011,3.9879
10/15/2011,3.8421
10/16/2011,3.557
10/17/2011,2.56
10/18/2011,2.419
10/19/2011,2.27
10/20/2011,2.348
10/21/2011,2.57
10/22/2011,3.1588
10/23/2011,3.17
10/24/2011,2.545
10/25/2011,2.77
10/26/2011,2.773
10/27/2011,3.04
10/28/2011,3.19
10/29/2011,3.5811
10/30/2011,3.27
10/31/2011,3.248
11/1/2011,3.15
11/2/2011,3.2543
11/3/2011,3.152
11/4/2011,3.109
11/5/2011,2.97
11/6/2011,2.9596
11/7/2011,3.0068
11/8/2011,3.035
11/9/2011,2.95
11/10/2011,2.8399
11/11/2011,3.08
11/12/2011,3.031
11/13/2011,2.9969
11/14/2011,2.22
11/15/2011,2.329
11/16/2011,2.5604
11/17/2011,2.25
11/18/2011,2.05
11/19/2011,2.1959
11/20/2011,2.2
11/21/2011,2.294
11/22/2011,2.3289
11/23/2011,2.3321
11/24/2011,2.4321
11/25/2011,2.5061
11/26/2011,2.47
11/27/2011,2.4799
11/28/2011,2.55
11/29/2011,2.7502
11/30/2011,2.9701
12/1/2011,3.06
12/2/2011,3.1151
12/3/2011,2.794
12/4/2011,2.8281
12/5/2011,2.8798
12/6/2011,3.03
12/7/2011,2.99
12/8/2011,2.98
12/9/2011,2.97
12/10/2011,3.05
12/11/2011,3.2511
12/12/2011,3.135
12/13/2011,3.2499
12/14/2011,3.15
12/15/2011,3.2
12/16/2011,3.2
12/17/2011,3.2001
12/18/2011,3.193
12/19/2011,3.5202
12/20/2011,3.95
12/21/2011,3.89
12/22/2011,3.8901
12/23/2011,3.9468
12/24/2011,3.94
12/25/2011,4.225
12/26/2011,4.018
12/27/2011,4.07
12/28/2011,4.1855
12/29/2011,4.166
12/30/2011,4.248
12/31/2011,4.722
1/1/2012,5.2677
1/2/2012,5.2168
1/3/2012,4.8808
1/4/2012,5.5738
1/5/2012,6.9476
1/6/2012,6.6969
1/7/2012,6.81
1/8/2012,7.1136
1/9/2012,6.3257
1/10/2012,6.36
1/11/2012,6.9
1/12/2012,6.8
1/13/2012,6.41
1/14/2012,6.75
1/15/2012,7.0018
1/16/2012,6.6825
1/17/2012,5.6
1/18/2012,5.92
1/19/2012,6.3598
1/20/2012,6.4898
1/21/2012,6.18
1/22/2012,6.3097
1/23/2012,6.356
1/24/2012,6.2898
1/25/2012,5.75
1/26/2012,5.34
1/27/2012,5.292
1/28/2012,5.6267
1/29/2012,5.3809
1/30/2012,5.4905
1/31/2012,5.4838
2/1/2012,6.0756
2/2/2012,6.1
2/3/2012,5.9593
2/4/2012,5.8734
2/5/2012,5.6888
2/6/2012,5.4535
2/7/2012,5.69
2/8/2012,5.6
2/9/2012,5.83
2/10/2012,5.9126
2/11/2012,5.6005
2/12/2012,5.5147
2/13/2012,5.26
2/14/2012,4.4629
2/15/2012,4.3251
2/16/2012,4.2739
2/17/2012,4.41
2/18/2012,4.222
2/19/2012,4.3867
2/20/2012,4.3615
2/21/2012,4.272
2/22/2012,4.4247
2/23/2012,5.015
2/24/2012,5.0288
2/25/2012,4.773
2/26/2012,4.922
2/27/2012,4.956
2/28/2012,4.868
2/29/2012,4.86
3/1/2012,4.9213
3/2/2012,4.705
3/3/2012,4.6144
3/4/2012,4.82
3/5/2012,4.9843
3/6/2012,4.9901
3/7/2012,4.9375
3/8/2012,4.9302
3/9/2012,4.8611
3/10/2012,4.8332
3/11/2012,4.91
3/12/2012,4.8901
3/13/2012,5.27
3/14/2012,5.38
3/15/2012,5.3266
3/16/2012,5.3439
3/17/2012,5.2159
3/18/2012,5.2794
3/19/2012,4.6939
3/20/2012,4.8379
3/21/2012,4.8149
3/22/2012,4.7043
3/23/2012,4.686
3/24/2012,4.676
3/25/2012,4.55
3/26/2012,4.6191
3/27/2012,4.8113
3/28/2012,4.788
3/29/2012,4.8084
3/30/2012,4.86
3/31/2012,4.9087
4/1/2012,4.827
4/2/2012,4.974
4/3/2012,4.952
4/4/2012,4.9101
4/5/2012,4.919
4/6/2012,4.9499
4/7/2012,4.6872
4/8/2012,4.7925
4/9/2012,4.8719
4/10/2012,4.8367
4/11/2012,4.9279
4/12/2012,4.9197
4/13/2012,4.94
4/14/2012,4.9597
4/15/2012,4.9689
4/16/2012,4.932
4/17/2012,4.9759
4/18/2012,5.1178
4/19/2012,5.1377
4/20/2012,5.35
4/21/2012,5.2601
4/22/2012,5.2035
4/23/2012,4.96
4/24/2012,5.0982
4/25/2012,5.1318
4/26/2012,5.0976
4/27/2012,5.1095
4/28/2012,4.9794
4/29/2012,4.9044
4/30/2012,4.9491
5/1/2012,5
5/2/2012,5.0737
5/3/2012,5.1344
5/4/2012,5.067
5/5/2012,5.077
5/6/2012,5.0499
5/7/2012,5.06
5/8/2012,5.05
5/9/2012,5.0437
5/10/2012,4.85
5/11/2012,4.96
5/12/2012,4.9462
5/13/2012,4.93
5/14/2012,5.0059
5/15/2012,5.035
5/16/2012,5.0887
5/17/2012,5.0998
5/18/2012,5.118
5/19/2012,5.0995
5/20/2012,5.09
5/21/2012,5.0998
5/22/2012,5.0988
5/23/2012,5.1397
5/24/2012,5.119
5/25/2012,5.1455
5/26/2012,5.1032
5/27/2012,5.139
5/28/2012,5.1358
5/29/2012,5.15
5/30/2012,5.135
5/31/2012,5.1801
6/1/2012,5.2748
6/2/2012,5.249
6/3/2012,5.2051
6/4/2012,5.266
6/5/2012,5.44
6/6/2012,5.46
6/7/2012,5.591
6/8/2012,5.633
6/9/2012,5.56
6/10/2012,5.4683
6/11/2012,5.5747
6/12/2012,5.7
6/13/2012,5.929
6/14/2012,5.9541
6/15/2012,6.5
6/16/2012,6.4
6/17/2012,6.1638
6/18/2012,6.31
6/19/2012,6.4988
6/20/2012,6.67
6/21/2012,6.6801
6/22/2012,6.5478
6/23/2012,6.4285
6/24/2012,6.35
6/25/2012,6.3048
6/26/2012,6.4195
6/27/2012,6.647
6/28/2012,6.6059
6/29/2012,6.65
6/30/2012,6.69
7/1/2012,6.629
7/2/2012,6.76
7/3/2012,6.4499
7/4/2012,6.5101
7/5/2012,6.67
7/6/2012,6.6481
7/7/2012,6.7621
7/8/2012,6.799
7/9/2012,7.0215
7/10/2012,7.1999
7/11/2012,7.15
7/12/2012,7.7644
7/13/2012,7.6651
7/14/2012,7.5421
7/15/2012,7.621
7/16/2012,8.4996
7/17/2012,8.8
7/18/2012,9.1098
7/19/2012,8.87
7/20/2012,8.52
7/21/2012,8.8455
7/22/2012,8.4096
7/23/2012,8.4457
7/24/2012,8.6
7/25/2012,8.8
7/26/2012,8.9
7/27/2012,8.9
7/28/2012,8.8881
7/29/2012,8.7103
7/30/2012,9.098
7/31/2012,9.35
8/1/2012,9.5503
8/2/2012,10.53
8/3/2012,10.97
8/4/2012,10.984
8/5/2012,10.87
8/6/2012,10.8552
8/7/2012,11.1
8/8/2012,11.0553
8/9/2012,11.0611
8/10/2012,11.3864
8/11/2012,11.5102
8/12/2012,11.624
8/13/2012,12.0375
8/14/2012,12.19
8/15/2012,13.25
8/16/2012,13.5
8/17/2012,11.5836
8/18/2012,11.61
8/19/2012,8
8/20/2012,10.1
8/21/2012,9.915
8/22/2012,9.8068
8/23/2012,10.1
8/24/2012,10.6
8/25/2012,10.5239
8/26/2012,10.61
8/27/2012,10.95
8/28/2012,10.94
8/29/2012,10.9169
8/30/2012,10.777
8/31/2012,10.16
9/1/2012,9.9654
9/2/2012,10.2041
9/3/2012,10.53
9/4/2012,10.3847
9/5/2012,10.9997
9/6/2012,11.181
9/7/2012,11
9/8/2012,11.037
9/9/2012,11.02
9/10/2012,11.17
9/11/2012,11.3308
9/12/2012,11.3649
9/13/2012,11.399
9/14/2012,11.67
9/15/2012,11.75
9/16/2012,11.87
9/17/2012,11.89
9/18/2012,12.25
9/19/2012,12.5725
9/20/2012,12.2825
9/21/2012,12.368
9/22/2012,12.2378
9/23/2012,12.1933
9/24/2012,12.1
9/25/2012,12.197
9/26/2012,12.27
9/27/2012,12.3089
9/28/2012,12.391
9/29/2012,12.3631
9/30/2012,12.4
10/1/2012,12.4
10/2/2012,12.84
10/3/2012,12.89
10/4/2012,12.85
10/5/2012,12.688
10/6/2012,12.505
10/7/2012,11.8
10/8/2012,11.7781
10/9/2012,11.895
10/10/2012,12.12
10/11/2012,12.03
10/12/2012,12
10/13/2012,11.861
10/14/2012,11.7389
10/15/2012,11.8381
10/16/2012,11.8499
10/17/2012,11.81
10/18/2012,11.9398
10/19/2012,11.7401
10/20/2012,11.7399
10/21/2012,11.6311
10/22/2012,11.7101
10/23/2012,11.65
10/24/2012,11.65
10/25/2012,10.8616
10/26/2012,10.1706
10/27/2012,10.2605
10/28/2012,10.7
10/29/2012,10.6
10/30/2012,10.8875
10/31/2012,11.201
11/1/2012,10.57
11/2/2012,10.4688
11/3/2012,10.6425
11/4/2012,10.8001
11/5/2012,10.748
11/6/2012,10.899
11/7/2012,10.92
11/8/2012,10.925
11/9/2012,10.815
11/10/2012,10.89
11/11/2012,10.8687
11/12/2012,11.008
11/13/2012,10.9512
11/14/2012,10.95
11/15/2012,11.1977
11/16/2012,11.7489
11/17/2012,11.7889
11/18/2012,11.6515
11/19/2012,11.7999
11/20/2012,11.7328
11/21/2012,11.77
11/22/2012,12.4219
11/23/2012,12.345
11/24/2012,12.4115
11/25/2012,12.4821
11/26/2012,12.2455
11/27/2012,12.2
11/28/2012,12.3477
11/29/2012,12.45
11/30/2012,12.565
12/1/2012,12.562
12/2/2012,12.5
12/3/2012,12.679
12/4/2012,13.41
12/5/2012,13.38
12/6/2012,13.299
12/7/2012,13.4999
12/8/2012,13.4201
12/9/2012,13.388
12/10/2012,13.4334
12/11/2012,13.557
12/12/2012,13.6989
12/13/2012,13.7001
12/14/2012,13.6
12/15/2012,13.4901
12/16/2012,13.3
12/17/2012,13.2501
12/18/2012,13.299
12/19/2012,13.599
12/20/2012,13.5246
12/21/2012,13.5
12/22/2012,13.3714
12/23/2012,13.312
12/24/2012,13.38
12/25/2012,13.35
12/26/2012,13.4679
12/27/2012,13.4217
12/28/2012,13.4212
12/29/2012,13.4
12/30/2012,13.45
12/31/2012,13.51
1/1/2013,13.3041
1/2/2013,13.28
1/3/2013,13.3979
1/4/2013,13.5
1/5/2013,13.44
1/6/2013,13.454
1/7/2013,13.5876
1/8/2013,13.7428
1/9/2013,13.77
1/10/2013,14.14
1/11/2013,14.137
1/12/2013,14.237
1/13/2013,14.116
1/14/2013,14.3
1/15/2013,14.25
1/16/2013,14.73
1/17/2013,15.5
1/18/2013,15.705
1/19/2013,15.615
1/20/2013,15.7
1/21/2013,16.8
1/22/2013,17.2614
1/23/2013,17.5
1/24/2013,16.896
1/25/2013,17.4
1/26/2013,17.88
1/27/2013,17.8182
1/28/2013,18.721
1/29/2013,19.5254
1/30/2013,19.7
1/31/2013,20.41
2/1/2013,20.499
2/2/2013,19.63
2/3/2013,20.59
2/4/2013,20.4301
2/5/2013,20.6
2/6/2013,21.18
2/7/2013,22.15
2/8/2013,22.66
2/9/2013,23.65
2/10/2013,23.9698
2/11/2013,24.65
2/12/2013,25.1698
2/13/2013,24.2
2/14/2013,27.2205
2/15/2013,27.1
2/16/2013,27.2158
2/17/2013,26.8146
2/18/2013,26.95
2/19/2013,29.4176
2/20/2013,29.645
2/21/2013,29.7477
2/22/2013,30.2454
2/23/2013,29.8
2/24/2013,29.89
2/25/2013,30.4
2/26/2013,31.1
2/27/2013,30.9012
2/28/2013,33.38
3/1/2013,34.5
3/2/2013,34.25
3/3/2013,34.5
3/4/2013,36.152
3/5/2013,40.33
3/6/2013,41.0201
3/7/2013,42
3/8/2013,44.18
3/9/2013,46.85
3/10/2013,46
3/11/2013,48.4
3/12/2013,44.2899
3/13/2013,46.92
3/14/2013,47.1696
3/15/2013,46.95
3/16/2013,47.0002
3/17/2013,47.4
3/18/2013,51.6
3/19/2013,59.14
3/20/2013,64.4888
3/21/2013,70.85
3/22/2013,69.865
3/23/2013,64.35
3/24/2013,71.5
3/25/2013,73.6
3/26/2013,78.5
3/27/2013,88.92
3/28/2013,86.18
3/29/2013,90.5
3/30/2013,92.19
3/31/2013,93.03
4/1/2013,104
4/2/2013,117.98
4/3/2013,135
4/4/2013,132.12
4/5/2013,142.3236
4/6/2013,142.6311
4/7/2013,162.301
4/8/2013,187.5
4/9/2013,230
4/10/2013,165
4/11/2013,124.9
4/12/2013,117
4/13/2013,93
4/14/2013,90
4/15/2013,82.386
4/16/2013,68.3557
4/17/2013,93.07
4/18/2013,109.01
4/19/2013,118.48
4/20/2013,126.6155
4/21/2013,119.2
4/22/2013,127.4
4/23/2013,143.475
4/24/2013,154.2
4/25/2013,141.71
4/26/2013,136.9
4/27/2013,128.0001
4/28/2013,134.4444
4/29/2013,143.9999
4/30/2013,139.2269
5/1/2013,116.38
5/2/2013,106.25
5/3/2013,98.1
5/4/2013,112.9
5/5/2013,115.98
5/6/2013,112.25
5/7/2013,109.6001
5/8/2013,113.2
5/9/2013,112.799
5/10/2013,117.7
5/11/2013,115.64
5/12/2013,114.82
5/13/2013,117.9797
5/14/2013,111.4
5/15/2013,114.22
5/16/2013,118.21
5/17/2013,123.5
5/18/2013,123.211
5/19/2013,122.5
5/20/2013,122.02
5/21/2013,122.89
5/22/2013,123.8
5/23/2013,126.3
5/24/2013,133.1
5/25/2013,131.986
5/26/2013,133.5
5/27/2013,129.77
5/28/2013,129
5/29/2013,132.25
5/30/2013,128.799
5/31/2013,128.8151
6/1/2013,129.3
6/2/2013,122.5
6/3/2013,120.7372
6/4/2013,121.4
6/5/2013,121.9
6/6/2013,118.9699
6/7/2013,111
6/8/2013,107.8924
6/9/2013,100.4374
6/10/2013,106.35
6/11/2013,109
6/12/2013,108.7759
6/13/2013,103.949
6/14/2013,100
6/15/2013,99.8
6/16/2013,99.9
6/17/2013,101.95
6/18/2013,107.35
6/19/2013,108.251
6/20/2013,111.29
6/21/2013,109.5
6/22/2013,108.2
6/23/2013,107.9
6/24/2013,102.09
6/25/2013,103.3293
6/26/2013,104
6/27/2013,101.7368
6/28/2013,94.66
6/29/2013,94.999
6/30/2013,97.51
7/1/2013,84.6069
7/2/2013,87.6562
7/3/2013,76.8901
7/4/2013,77.685
7/5/2013,66.34
7/6/2013,66.855
7/7/2013,72.5053
7/8/2013,74.56
7/9/2013,74.225
7/10/2013,84.515
7/11/2013,91.22
7/12/2013,88.465
7/13/2013,91.3888
7/14/2013,90.3713
7/15/2013,93.14
7/16/2013,92.7415
7/17/2013,90.5425
7/18/2013,85.4298
7/19/2013,85.7775
7/20/2013,85.6675
7/21/2013,85.4725
7/22/2013,86.0862
7/23/2013,86.9389
7/24/2013,87.4575
7/25/2013,89.41
7/26/2013,90.6325
7/27/2013,89.0975
7/28/2013,92.1
7/29/2013,93.2981
7/30/2013,96.31
7/31/2013,97.915
8/1/2013,96.4175
8/2/2013,97.24
8/3/2013,96.66
8/4/2013,96.6
8/5/2013,96.92
8/6/2013,97.1331
8/7/2013,96.92
8/8/2013,94.775
8/9/2013,93.36
8/10/2013,93.2875
8/11/2013,94.1625
8/12/2013,95.085
8/13/2013,97.9021
8/14/2013,97.96
8/15/2013,97.545
8/16/2013,98.33
8/17/2013,99.565
8/18/2013,98.845
8/19/2013,102.2997
8/20/2013,105.0125
8/21/2013,111.445
8/22/2013,109.73
8/23/2013,107.5475
8/24/2013,108.6875
8/25/2013,111.795
8/26/2013,112.23
8/27/2013,117.4461
8/28/2013,117.59
8/29/2013,117.5227
8/30/2013,123.2332
8/31/2013,129.46
9/1/2013,128.2597
9/2/2013,127.3648
9/3/2013,127.5915
9/4/2013,120.5738
9/5/2013,120.5333
9/6/2013,116.321
9/7/2013,119.0547
9/8/2013,116.595
9/9/2013,120.0188
9/10/2013,121.458
9/11/2013,125.4518
9/12/2013,125.7598
9/13/2013,126.5072
9/14/2013,124.0813
9/15/2013,124.5783
9/16/2013,125.0618
9/17/2013,125.9683
9/18/2013,126.3045
9/19/2013,124.1937
9/20/2013,122.9008
9/21/2013,122.6435
9/22/2013,122.651
9/23/2013,122.2235
9/24/2013,122.5383
9/25/2013,123.423
9/26/2013,123.4763
9/27/2013,123.4983
9/28/2013,124.7483
9/29/2013,125.1807
9/30/2013,123.0983
10/1/2013,125.4938
10/2/2013,99.8135
10/3/2013,116.8168
10/4/2013,121.2945
10/5/2013,121.1398
10/6/2013,121.6828
10/7/2013,123.245
10/8/2013,124.3182
10/9/2013,125.8423
10/10/2013,125.6982
10/11/2013,125.5117
10/12/2013,126.5232
10/13/2013,130.4155
10/14/2013,133.0355
10/15/2013,138.6417
10/16/2013,137.4188
10/17/2013,142.735
10/18/2013,149.5947
10/19/2013,159.8115
10/20/2013,163.0632
10/21/2013,174.1772
10/22/2013,183.8648
10/23/2013,200.62
10/24/2013,183.1482
10/25/2013,178.1217
10/26/2013,175.9008
10/27/2013,185.6888
10/28/2013,187.8683
10/29/2013,198.1932
10/30/2013,194.5493
10/31/2013,198.2263
11/1/2013,198.5098
11/2/2013,200.8473
11/3/2013,207.6335
11/4/2013,225.196
11/5/2013,239.29
11/6/2013,253.6933
11/7/2013,283.3023
11/8/2013,323.767
11/9/2013,336.1358
11/10/2013,311.9005
11/11/2013,332.6263
11/12/2013,349.3425
11/13/2013,393.2795
11/14/2013,410.723
11/15/2013,409.1675
11/16/2013,428.8238
11/17/2013,476.295
11/18/2013,674.3768
11/19/2013,541.8257
11/20/2013,572.6675
11/21/2013,695.8668
11/22/2013,747.4818
